DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
11/10/2022,56,55.1,82.4,113.3,48.5,171.6,62.2,86.4,104.5,199,164.8,206,209.1,231.1,220,221.1,245.8,239.3,182.9,118.4,169.5,178.7,229.3,168.2
19/10/2022,31.2,36.2,36.6,31.4,69.2,75.6,54.4,82.2,63.9,39.7,32.1,39.7,36.6,62.4,45,33.2,28.1,15.7,31.4,6.1,31.3,84.1,115.9,161.2
24/10/2022,112,60.9,55.7,78.2,70.6,69.8,75,41,49.8,81.6,66.8,89.3,125.6,179,265.4,265.4,265.1,262.5,265,262,195.2,75.9,93.5,64.1
25/10/2022,57.7,94.4,158,82.2,160.6,91,124.6,67.2,51.1,59.1,20.3,7.1,11.9,18.3,4.2,3.4,0,0,0,12.8,37.8,81.1,83.7,84.8
01/11/2022,107.8,135.4,73.1,33.2,87.1,78.8,49.8,115.9,189.1,83,92,134.1,131.8,119.8,129.7,173.5,220.4,204.7,151.3,166.1,132.7,149.6,144.7,200.5
10/11/2022,265.4,265.4,265.2,261.3,250.4,158.6,117.1,79.5,79.4,58.4,102.7,120,86.8,76.8,77,58.7,89.3,122.5,121.5,109.2,119.9,134.9,160.5,134.2
11/11/2022,165.1,227,257.9,262.9,263.1,264,264.5,265.3,265.4,259,252.5,225.4,213,232.9,252.3,237.1,198.5,155.3,140.9,162.8,123.7,75,93.5,50.8
12/11/2022,35.9,17.9,9.1,0.9,1.3,0.6,4.7,6,12.8,2.3,3.9,19.9,43.4,29.7,19.1,25.1,39.5,39.9,41.1,97.6,139.1,82.2,51.9,57.3
14/11/2022,77,91.9,94.4,122.9,15.9,37.7,35.4,29.1,35.2,76.2,252.1,249.9,262.9,265.1,265.2,264.7,265.2,261.5,227,221.5,147.1,126.3,113.4,123.8
25/11/2022,249.6,242.1,258,214.7,229.6,158.4,97.2,140.5,187.3,136.9,123.7,131.4,174.8,182.5,174.2,174.7,146.8,201.6,145.3,55.5,77.7,65.4,28.4,28.5
02/12/2022,265,242.8,233.6,198.1,250.9,265.2,264.4,263.5,263.8,265.3,263.8,249.1,265.1,265.4,265.5,265.5,265.4,263,224.2,171.4,134.2,150.2,265.4,265.4
04/12/2022,161.4,226.2,191.3,227.7,92.4,197.9,124.7,137.1,129.8,81.4,54.8,30,20.2,8.5,2.4,0,0,33.2,16.9,63.9,34.9,35.9,80.8,147.7
05/12/2022,168.2,136,224.3,198.7,178.4,245.7,264.2,263.8,264.1,265.3,265.4,260.8,244.2,249.2,258.3,243.6,227.9,230,223.1,256.1,217.1,235.7,263.5,227.6
08/12/2022,90.8,83.9,104.6,80.4,46.2,69.8,94.2,72.7,96.3,91,129.6,139.7,197.9,245.6,244.5,253,222.3,187.1,101.6,99.8,114.9,107.4,60.3,34.3
13/12/2022,122.7,138.1,159.1,146,192.5,242.8,205.9,157,136.8,191.9,138.6,204,247.7,264.3,265.3,264.9,265.2,260.3,222.5,162.5,162.4,228.1,257.8,134.4
14/12/2022,79.5,91,40.7,26.2,44.1,33.5,37.4,94.2,134.4,92.7,126.7,68.6,16.5,4.2,3.6,7.1,5.5,0,8.3,14,29.7,84.3,46.5,10.3
19/12/2022,83.2,214.2,264.8,243,256,200.1,173.5,204.7,195.2,140.5,156,100.8,133.9,143.3,82.3,93.1,115.4,93.6,94,127.1,212.3,240.2,220.5,257
20/12/2022,263.3,181.3,120.6,94.1,122.3,160.8,146.2,66.5,21.7,23.6,7.1,2.1,0.1,0,2.6,18.3,37.2,70.3,84.7,50.2,12.3,32.7,101.5,109.9
21/12/2022,109.9,161.1,175,146.6,68.5,50.9,50.9,138,162.3,181.2,265.3,187.7,217.1,183.5,112.8,100.1,71.1,71.1,35.8,19.7,54.1,153.4,218.9,255.4
25/12/2022,97.5,85.7,168.7,203.7,121.9,72.7,3.1,8,20,12.4,8,28.7,53.7,43.6,122.8,187.9,239.7,172.9,157.6,66,45.7,44.1,56.1,257.8
26/12/2022,264.7,262.8,252.8,243,172,195.8,263.1,262.7,265.1,263.6,255.2,264.7,262.4,255.2,219.1,122.9,89.1,29.2,10.6,1.4,8.3,49,117.9,161
05/01/2023,24.2,22.5,2.9,7,5.5,5.8,0.4,0,0,0,1.8,25.9,47,70.5,72.7,59.4,45.3,63.5,115.7,135.3,125,227,171.5,127.5
13/01/2023,1.2,7.7,7.7,19.6,38,58.4,75,91.8,104.9,75.3,55.1,51.5,52.1,57.2,72,75.8,39.9,72.3,61.4,54.2,51.1,45.3,99.1,110.8
16/01/2023,262.3,265.4,265.1,262.7,247.5,254.5,258,243.8,226.8,251.2,201.8,157.8,184.3,233.6,261.9,264.1,262.8,243.8,249.9,217.2,232.1,254.5,218.5,179.7
17/01/2023,261,207.4,160.5,201.8,173.7,174.5,61,29.4,22.8,40.1,11.3,31.1,12.3,11.4,21,96.3,167,141.2,170.2,137.1,148.6,128.8,109.4,156.6
22/01/2023,179,223.7,85.9,107.2,155.2,257.6,236.9,143.4,67.8,53.2,39.5,16.6,62.4,82.2,45.5,32.8,25.9,14.8,7.1,15.6,35.4,45.1,78.8,70.8
26/01/2023,218.9,230,248.1,256.9,264.7,262.5,262,236.5,241.5,236.9,85.6,36.3,56.1,32.9,41.3,114.3,143.8,136.2,97.3,67.3,73.3,106.6,175.6,189.6
29/01/2023,204.2,225.3,202.3,129.1,107.3,137.5,168.1,112.5,80.4,51.6,42,34.1,35.9,35.9,19.4,7.8,4.9,5.5,14.9,24,49,68.4,75.8,97.7
03/02/2023,72.3,6.1,0.9,0.1,4.9,1,14.3,26,36.7,52.7,66.4,35.3,47.9,75,156.2,189.7,229.6,150.4,131.8,187.1,226.4,221,216.5,261.5
08/02/2023,24.4,30.2,39.8,9.4,45,58.4,56.7,32.7,50.6,46.2,22.1,24.1,49,52.1,55.5,69.3,86.1,72.5,49.9,26.4,4.6,16.3,14,28.5
