DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
21/10/2022,41.8,23.6,16.8,22.3,16.6,25.2,46,40,21.4,22.2,38.5,40.2,34.7,20.6,1.2,-2.5,-3.2,-2.5,50.9,32.5,-1.1,-3.2,-3.8,10.8
22/10/2022,-4.3,-4.4,-5.1,-3.6,-2.3,-1,-1.7,14.7,0.1,0.3,4.9,28.9,24.8,23.9,17.8,10.8,4.1,14.6,41,30.7,15.6,-1,-2.1,29.1
23/10/2022,-2.1,-2.2,-2.2,-2.2,-2.2,-1.8,-1.3,-1.3,-1.9,-2.7,-3.4,-4.2,-3.9,-3.7,-3.6,-3.5,-3.6,-3.5,-2.3,16.4,-0.3,-2.2,-2,48.9
26/10/2022,38.7,27.5,24.2,28.4,25.3,30.4,37.9,56.4,30.9,25.5,24.4,0.2,0,0,10.7,0.4,0.9,4.4,43.1,40.9,10.4,-2.4,-4.1,28.7
27/10/2022,-4.1,-4.6,-4.5,-4.3,-3.8,-3.9,-4.5,-3.4,-3.5,1.5,-3.6,0.6,-2.3,-1.8,-1,0,0.3,24.6,44,41.6,14.8,9.1,35.2,37.2
02/11/2022,-3.3,-2.5,-1.8,-1.2,-0.3,1,7.5,20.2,29.5,25.3,6.5,2.8,2.4,1.8,-0.3,-1.7,-2.2,-1.6,19.2,21.5,-2,-13.2,-11.5,21.8
03/11/2022,-21.2,-18.9,-16.7,-3.6,-1.8,-1.8,-1.6,-1.7,-2,-2.5,-4.2,-5.5,-4.5,-3.1,-3.3,-4.1,-5.3,-5.2,-2.6,-2.4,-4.6,-3.9,-3.9,22.8
04/11/2022,-5.3,-6.1,-2.6,-1.3,3.1,20.5,27.5,50.7,28.8,11.8,0.5,-2,-2.3,-3.2,-2.5,-1.9,-1.7,0.2,19.9,28.9,27.3,25.2,25,25.5
05/11/2022,25.6,23.8,21.5,24.3,26.7,32.3,40,35.6,30.5,13.5,13.7,8.4,4.8,1.6,-0.3,-1,-1.6,1.3,14.3,0.8,-7.8,-13.9,-7.8,23.7
08/11/2022,17.8,22.5,24.9,23.8,19.2,18.5,21.3,26.4,28.1,22,1.9,1.3,0.6,-0.1,-0.4,0,-1.7,8.1,14,4.6,-0.8,-1.2,-0.6,20.8
09/11/2022,-0.3,-1.3,-1.1,-0.3,-0.7,1.2,7.6,1.8,0.1,-1.3,-2.6,-5.6,-6.3,-6.5,-3.1,-4.3,-4.9,-5.6,-3.4,-0.8,-5,-7.5,-6.6,25.4
13/11/2022,26.7,25.9,24.6,23.7,25.3,26.6,24.9,21,16.6,7.3,2.7,1.7,1,0.9,0.6,2.8,25.7,49.1,39.1,33.6,22.2,9.6,-1.6,25.2
28/11/2022,65.1,52.1,45.7,34.4,26,29.7,8.1,-0.5,-0.3,1.4,15.8,11,1,-0.3,-0.3,-0.2,10.9,58.9,17.7,-0.9,-1.9,-1.6,-1.8,15.4
29/11/2022,-1.7,-1.6,-1.6,-1.5,0.1,3,1.1,17.8,2,0.5,0.7,0.7,0.3,-0.5,1.1,5.6,20.7,87.4,64,33.6,2.4,0.5,0.7,20
12/12/2022,31.1,31.4,24.8,24.5,24.1,21,23.2,30.5,28,11.1,8.3,1.4,0.2,-0.3,-1.4,2.4,-1.1,4.5,30.4,4.8,0.4,14.2,-2.4,22.9
18/12/2022,38.1,34,32.6,29.5,23.8,24,28.9,29.6,54.1,35.1,13.3,4,1.8,0.3,-1.4,-2,5.7,23.1,22.6,21.5,20.8,20.6,7.5,24
22/12/2022,-0.9,-1.2,-1.1,-0.3,8.9,22.9,20.4,24.2,9,1,-0.5,-1.1,-2,-2,-2,-2,-1.8,3.2,22.2,26.3,27.3,30.9,33.4,23.5
27/12/2022,68.7,57.4,46.9,43.5,40.7,35.3,38.3,35,13.8,0.4,0.9,-0.3,-1.5,-2.4,-2.8,-3.7,-2.9,-2.5,-2.4,-2.3,-2.5,-2.3,-2.4,26.5
28/12/2022,-2.3,-2.3,-2.3,-2.2,-1.4,-1.1,-0.4,-0.5,-0.9,-1.1,-1.2,-1.3,-1.5,-1.1,-0.1,0.6,36.8,52.9,29.8,29.5,23.1,13.3,10.1,25.5
29/12/2022,10.2,10.8,21.1,25.4,28,21.9,29.8,22.7,18.7,12.1,12.2,14,15.5,17.2,26.5,13.6,-0.9,19.5,12.5,14.5,15.5,3.3,2.8,23
30/12/2022,40.6,26.3,17.6,19.2,17.1,-6.1,15.5,24.8,31.4,29.6,26.4,23.2,18.6,8.9,9,12.3,9.7,11.1,32.6,36.7,29.7,25.1,24.1,24.9
31/12/2022,6.1,8.7,3,-0.8,1,2,2.8,2.2,-0.1,7,-0.1,-0.4,-1.1,-0.5,-0.1,0.4,19.9,40.4,17.9,8.9,5.7,2.4,-1.7,25.4
01/01/2023,-2.1,-1.1,-1.2,0,-0.8,-0.7,3.2,11.9,12.8,8.6,19.4,14.2,13.8,20.3,25.5,27.4,43,35.6,17.7,5.8,9.1,17.1,1.4,22.9
02/01/2023,-3.8,-14.5,-26.1,-30.4,-27.3,-5.4,0.2,4.8,14.2,19.6,24.4,17.8,9.5,2.6,1.7,3.4,2.9,15.3,63,43.4,37.2,25.8,18.1,25.1
03/01/2023,1.8,-0.9,-2.1,-0.5,1.6,3.3,19.2,20.2,26.3,106,19.2,21.8,42,26.1,26.6,18.8,15.2,42.7,30.2,24.8,22.1,18.8,19.5,22.1
04/01/2023,22.7,17.5,17.1,17.5,19.5,31.4,48.6,38,23.5,17.4,14,14.4,14.1,8.9,0.3,0.9,11.4,26.7,28.6,22.3,21.8,22.3,20.7,21.3
06/01/2023,0.2,0.1,-0.3,1.8,3.4,16.6,30.2,25.5,7.9,3.7,10.2,5.2,1,0,0,0.2,36.9,35.1,31.5,25.6,16,8.9,15.2,20.5
07/01/2023,15.6,12.1,8.9,13,15.2,17.5,14.2,9.6,12.3,12.4,14.2,14.5,15,15.8,18.2,19.6,27.7,30.4,16.5,27.7,19,20.3,18.4,22.2
08/01/2023,11.3,10.1,9,6.1,12.4,13.7,17.6,19.8,14,12.5,13,12.7,10.5,11.3,10.4,8.8,9.3,15.2,6.9,11.6,11,11.8,4.7,22.8
09/01/2023,-0.6,-0.2,0,9.3,13.2,14.4,19.8,19.3,11,7.5,13,11.7,11.3,9.8,12.1,12,17,35.9,29.1,23.3,21.3,12.1,10.4,22.7
10/01/2023,15.2,6.6,4.2,4.6,4.2,12,17.7,18.5,4.9,-0.2,1.1,0.5,-0.6,-1.7,-2.7,-1.8,6.8,60.3,31.1,25.8,13.5,20.8,17.6,22.3
11/01/2023,6.3,8,17.6,10.7,12.4,22.3,50.5,21.7,12.1,7.8,15,6.4,1,-0.6,-0.9,-1.4,-1.3,-2,-0.9,-0.6,-0.6,-1.7,6.6,26
12/01/2023,-5.4,-11.4,-3.9,-2.9,-2.2,-2.2,0.5,0.2,-0.3,-1.4,-3,-1.7,-0.5,0,0,-0.1,0.2,28.1,35.9,42.7,50.1,39.9,43.8,36.3
14/01/2023,-0.7,-2.2,-2.3,-1,0.5,0.3,0.7,2.1,-2.5,-2,-1.6,-3.1,-3.7,-4.4,-6.1,-5.1,-4.1,-2.8,-3.2,-3.7,-4.1,-4,-4.2,22
15/01/2023,-3.7,-3.7,-3.7,-3.4,-2.8,-1.2,-0.6,0.4,0.2,-0.4,0,-0.5,-0.9,-1.2,-1.6,-1.2,1,8.8,7.7,0.5,-0.5,0,2.4,29.9
18/01/2023,24,11.2,0.3,-0.5,5.8,13.1,19.3,23.6,5,-0.4,-2.5,-2.9,-3.1,-3.4,-3.4,-2.9,-2.5,4.3,28.2,15.2,7,7.9,5.2,25.5
19/01/2023,1.2,-0.4,0.6,9.4,20.2,28.7,19.5,24.8,21.9,17.6,14.9,17,18.8,19,19,19.4,27.7,62,37.8,29.5,28.2,24.6,18.6,26
20/01/2023,13.3,12.6,12.7,12.4,12.8,15.9,23.3,20.9,13,14.9,6.1,0.6,0.1,-0.2,-0.6,-1.3,-1.4,13.4,20.6,0.5,0.1,0.3,1.5,28.4
21/01/2023,11.2,17,22.5,28,28.8,26.8,22.9,25.8,24.7,20.7,11.4,8.5,6.7,0.6,-0.5,-1.8,-2.2,9.8,22.9,18.8,2.4,2,10.9,26.4
23/01/2023,19.7,18,17.4,17.7,18.5,24.7,42.4,48.5,23.2,16.6,8,4.9,11.9,6.3,1.8,1.3,6,52.6,68.8,34.3,28.6,27,21,24.7
24/01/2023,21.3,29.1,27.8,25.6,25.3,24.1,24.4,24.3,26.4,28.6,27.1,25.5,24.7,20.4,18.4,16.2,13.9,17.7,22.3,21,20,18.1,17.4,23.3
25/01/2023,14.8,14.3,15.9,16.8,16.1,17,22.2,26.3,22.3,16.4,8.9,0,0.8,0,1.9,7.7,15,30.2,39.9,30.4,28.1,26.8,24.9,26.9
27/01/2023,29.8,21,17.9,12.7,7.3,8.9,14.9,22.1,8.7,6.7,6.7,1.1,12.1,15.1,12.5,10.2,11.6,45,23,0.3,-3.6,-0.3,0,25.3
28/01/2023,-0.1,0.1,0,0.3,4.2,15.3,28.8,35.6,29.9,19.3,25,23.4,19.3,14.3,12.8,10.8,12.9,26.6,22.7,16.7,11,11.6,10.4,36.3
04/02/2023,8.3,2.8,-0.4,0.1,2.4,2.8,3.9,3,0.3,-0.2,-1.4,-2.9,-4.4,-4.5,-3.4,-3.6,-1.7,8.2,15.6,5.4,5.1,2.2,6,27.2
05/02/2023,10.4,11.1,16.2,25.1,21.9,29.4,29.2,33.6,18.5,16.6,14.6,13.6,13.7,11.6,5.4,0,1.3,16.8,17.7,7,-1.6,-3,-11.5,36.4
06/02/2023,-31.1,-31,-31.1,-31,-26.3,-3.8,-2.1,-2,-2.8,-3.1,-3.9,-4.2,-4.1,-4.4,0,-4.2,-2.6,2.8,15.8,0.3,-1.6,-1.7,-2,36.2
07/02/2023,-6.5,-3.9,-2.6,-5.2,1.7,14.1,3.5,3.4,0.9,2,1.9,-0.7,-1.2,-1.6,-2.5,-1,2.5,16.8,28.2,22.9,22.6,19,17.6,38.2
09/02/2023,23,20.7,22,22.5,32.6,49.2,94.5,54.3,19.2,17,12.3,9.9,10.6,7.8,2.3,0.1,1.9,7.3,10.6,0.6,-2.9,-3.9,-3.4,25.5
10/02/2023,3.6,8.2,7,8.7,9.6,12.1,17.9,22,13.4,0,-2.1,-2.9,-1.7,-2.5,-3,-2.9,-2.1,4.1,19.8,23.9,24.1,30.8,41.9,43.8
12/02/2023,15.7,8.8,2.4,0.1,4.8,5,9.1,8.3,0.4,2.8,0.6,-0.6,2.3,5,6.7,2.1,3.3,15.1,18.5,12.2,7,2.6,6.1,26.6
13/02/2023,3.2,10.1,12.7,13.4,15.8,23.8,50.5,43.6,22.6,24.5,21.7,20.8,20,21.9,18.4,16,16.2,13.9,17,11.5,4.6,0,2.5,29.3
14/02/2023,54.9,74.7,60.2,23.3,15.8,14,6.4,5.6,-3.6,-3.7,-0.7,0.4,-0.6,-2.1,-3.7,-4.5,-2.5,5.1,23.8,11.1,8.2,4.7,27.7,35.1
15/02/2023,47.3,21.2,22.9,24.2,21.2,32.8,22.5,20.3,7.7,6.4,2.9,0.4,-0.9,-1.2,-1,-0.7,-0.3,1.6,2.2,-2.2,-3.4,-6.1,-3.7,47.2
16/02/2023,-2,-2.1,0.2,3,2.7,3.7,28.7,34.6,16.9,-0.2,-0.4,-0.1,-0.2,-0.6,-1.3,-2.3,-3.1,-2.1,14.7,15.9,15.6,14,11.9,113.7
18/02/2023,22.7,18.2,17.3,17.3,17.4,16.4,19,19.9,16.3,13.3,5.8,1.7,0,-0.7,-0.7,-1.1,-1.1,1.2,11.9,-1.9,-3.4,9.4,8.9,57.2
19/02/2023,22.8,28.9,35.8,10.6,0.8,7.2,15.9,20.1,18.5,22.2,17.7,17.1,15.4,14.1,24.7,32.1,17.6,20.6,36.5,33.5,32,19.8,9.6,28.1
20/02/2023,1.4,0.2,-0.3,-0.5,-0.8,1.6,0.1,-1.1,-0.1,-0.2,-0.4,-0.1,-0.7,-1.6,0.1,1,1.1,7.4,23.3,22,16.8,18.1,14.4,58.8
21/02/2023,12.8,6.6,4.8,5.8,9.1,22.1,25.7,17.8,8.6,10.3,12,4.6,0.7,-1.8,-1.8,-1.9,-1.2,-0.9,3,0.1,-2.1,-2.4,-0.1,34
22/02/2023,3.7,-1,0.8,2.5,-0.3,1.3,0.4,-3.3,-2.9,-4.5,-4.4,-5.2,-4.6,-4.1,-4.3,-4.7,-4.5,-0.5,25.7,19.4,8.7,3.1,3.7,24.9
23/02/2023,6.4,3.9,6.5,8.9,11.5,8.3,17.1,11.8,3.4,0.7,0.6,0.7,0.4,0.9,0.7,0.4,2.5,5.2,15.5,13.2,13.7,16.5,15.5,26.1
26/02/2023,19.2,29.9,19.5,17.9,18.3,21.7,30.1,23.9,46.4,21.6,17,12,5.7,0.3,-3.2,-4.8,-4,-4,-1.2,0.7,5.8,1.5,-0.7,26
27/02/2023,-0.4,-1.5,-2.7,-1.9,1.4,1.4,3.8,8.8,0.6,0.8,5.1,25.4,13.1,7.3,4.3,6.5,6.4,15.5,25.9,27.8,24.3,13.6,8.8,30.2
28/02/2023,6.3,11.4,14.7,17.7,33.2,58.3,67.8,34.8,17.3,25,17.4,16.3,9.5,1.4,1.4,0.7,11.7,26,39.2,31.2,23.3,18.7,20.4,25.2
03/03/2023,19.8,8.9,20.1,18.3,23.5,25.6,32.4,29.1,19.5,0,17.9,19.2,19.3,19.2,14.2,13.7,13.7,32.1,81.4,29.4,31,24.8,22.9,17.1
05/03/2023,30.2,16.6,3,2.4,-1.4,-3.6,3.4,2.5,-1.3,-1.6,-1.7,-4.4,-0.8,-1,-0.5,-0.6,-0.3,3.8,37,30.3,5.5,-0.6,-3.2,50.4
11/03/2023,-5,6,6.4,4.1,5.5,9.1,8.6,8.1,2.5,-0.2,0,0.2,0.8,0.5,1.2,0.7,3.8,22.7,55.3,26.2,26.3,20.9,17.3,5.7
15/03/2023,11.6,4.5,0.8,-0.8,1,15.7,20.9,-0.7,-0.9,-1.9,-1.4,-1.9,-2.9,-3.4,-21.5,-4.5,-22.2,-25.1,-0.6,-11.8,5.2,0.4,-16.7,27
16/03/2023,-2.9,-3,-3.3,-3.3,-1.9,0.2,1.8,3.7,0.9,-0.6,-2.3,-3.4,-4.3,-4.1,-5.3,-6,-5.2,-4.2,-0.2,1.8,0,-0.3,0,26.7
20/03/2023,3.3,2.5,5.2,11.5,10,15.8,19,4.7,14,1.2,-0.6,-2.5,-3.3,-3.8,-4,-4.1,-4.2,-9.5,-5.7,-2.2,-1,-1.7,-1.4,-2.1
21/03/2023,-2.7,-2.5,-2.5,-1.9,-0.4,5.1,92.4,113.3,35.1,6.3,0.1,-0.3,0,0.4,0.6,0.4,-0.2,-1.3,0.4,47.4,10.7,1.3,4.1,-3.3
22/03/2023,-3.5,-6.3,-6.9,-7.2,-7.9,1.5,7.7,25.7,23.3,4.7,0.2,0,0.4,0.4,0.5,1.5,2.3,2.8,16.5,131.1,80.1,39.5,31.5,22.1
24/03/2023,24.4,18.9,16.2,16.8,19.9,74.7,55.8,63,33.3,24,37.5,24.2,17.1,8.5,3.4,-1.1,-3.5,-2.9,-0.1,1.4,12.4,26.7,29.2,26.6
30/03/2023,-2,-2.4,-0.5,0.9,5,15.9,20.5,20.9,19.6,6.2,-1,-2.1,-2.7,-4,-6.4,-4.9,-4.9,-4.5,-4.2,-4.4,-4.5,-3.9,-3.7,-3.9
31/03/2023,-3.8,-3.6,-1.9,0.7,10.8,18.6,20.9,30.8,46.5,-4.3,-11.6,-18.6,-21,-20.6,-19.7,-19.1,-18.3,-17.6,-6.1,20.5,27.7,46.2,50,52.1
02/04/2023,-2.1,-3.8,-6.3,-7,-6.8,-4.6,-2.7,-0.9,1.3,3.3,1.5,0.1,0.9,2.7,4.2,3.3,4.4,5.2,5.6,28.5,21.8,20.7,22.2,16.8
03/04/2023,12.5,10.8,4.9,1.6,1.5,3.2,6.6,9.9,4.5,8.7,14.8,13.5,12.2,8.4,4,-3.9,-14.3,-15.5,-12.3,3.4,-7.8,-15.4,-7.8,-0.6
04/04/2023,-0.7,-0.8,-1,1,14.3,21.3,22.5,29.3,21.9,19.5,19.3,18.7,13,3.3,3.4,3.2,3.3,4.6,10.9,22.4,27,23.6,18.8,21.9
05/04/2023,21,4.7,0.2,-0.8,-0.8,1.8,5.1,4.6,3.2,0.4,2.4,4.1,5.8,10.3,16.3,17.5,18.8,21.7,32.3,41.1,25,22.2,16.4,10
06/04/2023,11.5,3,1.2,8.2,11,16.8,22.4,22.6,18.2,8.9,5.1,5.1,7.9,8.4,8.3,10.6,12,9.1,12.4,34.2,48.5,28.4,27.4,18.9
