DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-07-31,28.811166667,44.840066667,36.797566667,36.484866667,18.509733333,35.744066667,34.781566667,27.480966667,47.532433333,56.514733333,26.325166667,48.263066667,53.803833333,83.878766667,79.4083,78.038166667,54.788,79.306166667,67.680033333,79.452833333,56.5712,64.6688,79.610433333,99.954733333
2023-07-30,62.206366667,39.778466667,14.830966667,13.101366667,34.534333333,15.639766667,34.5375,22.0048,13.196866667,21.9511,17.679166667,27.144866667,29.373266667,52.471366667,49.4937,93.2784,115.297833333,80.377266667,73.454066667,70.729533333,25.819833333,11.974333333,14.996733333,23.1288
2023-07-29,131.940966667,107.1495,38.839133333,46.946466667,83.050666667,2.7485,21.748466667,15.6299,28.775566667,22.7762,19.522733333,8.1906,13.965266667,24.690866667,21.309833333,25.365966667,99.1406,91.423133333,91.306666667,89.283966667,36.0303,28.795966667,60.8005,63.029866667
2023-07-28,24.985133333,42.1813,70.837633333,63.4096,114.641866667,88.710966667,61.846766667,95.3447,57.261533333,70.012066667,49.2215,55.120766667,46.3006,58.381866667,90.942166667,57.821866667,66.571466667,59.021433333,45.2309,47.869966667,46.321033333,78.376733333,165.299866667,170.999333333
2023-07-27,159.204,114.495233333,161.3684,164.127333333,96.036233333,83.268233333,66.672933333,47.511633333,46.4836,44.0283,53.170166667,74.494066667,102.7002,93.631233333,149.8155,146.254633333,162.255733333,144.584266667,135.2252,111.4257,126.272,127.927733333,44.401866667,37.0575
2023-07-26,247.1461,215.000866667,113.6051,119.0571,95.0763,85.149966667,85.2287,52.610633333,112.7392,106.467,101.9025,189.808666667,181.501233333,160.8193,177.853433333,147.944533333,108.800933333,132.081566667,88.622366667,100.8922,104.379566667,101.186566667,174.336233333,197.712666667
2023-07-25,184.153066667,230.542666667,227.514666667,200.7802,223.779866667,237.082933333,210.910633333,250.3633,193.304133333,183.3549,152.591166667,155.146566667,228.262366667,229.038333333,237.650266667,242.1278,238.382933333,259.2367,255.436666667,214.556,201.701333333,177.7964,161.369733333,234.5476
2023-07-24,144.585066667,151.773666667,149.280666667,142.578266667,114.334033333,119.317,145.003733333,93.9182,190.8403,186.898766667,239.123066667,199.319433333,172.519333333,165.848266667,168.762233333,155.054066667,146.783966667,171.128166667,229.0257,201.9466,154.9778,142.266533333,197.8656,222.969266667
2023-07-23,69.7846,69.012733333,41.238533333,31.2658,53.0804,96.7221,11.101533333,49.344633333,131.5567,135.498033333,111.065166667,113.7019,70.0455,38.143,54.247866667,42.045933333,37.4231,37.6281,38.109166667,39.237066667,49.337,44.5646,110.694533333,113.570233333
2023-07-22,27.804833333,18.5584,40.294466667,41.8098,7.964533333,1.797333333,4.820733333,6.173233333,4.2685,17.902,3.773333333,1.230533333,1.800933333,4.1758,2.814533333,0.8853333333,1.853433333,10.185933333,13.533866667,47.295766667,156.2663,150.2209,145.682466667,131.415666667
2023-07-21,144.2011,53.076833333,140.706766667,228.4023,186.249033333,171.370466667,103.245366667,66.310333333,27.430566667,0.5739,7.145333333,70.7243,56.1232,83.649833333,100.621333333,72.635633333,62.506833333,85.5965,76.961266667,87.900733333,53.5696,46.5724,35.517233333,53.1842
2023-07-20,118.3369,56.223,78.807566667,73.6411,89.634166667,38.6407,7.851333333,9.013833333,0.9301,3.055366667,21.9782,12.681066667,6.264533333,13.471233333,30.3827,42.454133333,95.693933333,78.329066667,73.2523,87.397133333,124.631733333,67.4369,38.8635,95.9968
2023-07-19,243.122666667,243.8047,255.3833,238.805566667,252.2323,265.233066667,265.478266667,264.990766667,203.5609,164.075633333,197.286233333,218.182733333,215.930166667,207.621533333,185.503933333,171.793233333,165.442733333,129.0028,134.959733333,102.512133333,165.1862,150.058133333,76.285,136.013933333
2023-07-18,145.092166667,207.199533333,257.267133333,264.788533333,265.369666667,265.058966667,264.5868,265.3972,265.06,237.279666667,206.515366667,210.695833333,257.049766667,259.5753,248.8932,263.334466667,261.680533333,252.5588,218.670633333,181.858766667,197.451433333,151.211866667,194.7586,248.2429
2023-07-17,148.1331,136.189966667,102.1666,120.361266667,83.230266667,101.7655,153.430933333,125.9477,133.545866667,134.8592,135.185066667,69.849066667,115.455066667,155.985433333,124.793233333,111.495233333,115.868533333,129.635466667,115.286566667,161.2746,161.9317,189.303333333,211.383566667,191.990433333
2023-07-16,145.665166667,202.0508,69.1943,10.915166667,0.1141666667,1.100866667,12.6428,40.8222,64.1135,54.720733333,39.641233333,11.6978,9.937733333,5.930333333,14.196566667,21.276166667,19.353166667,12.369633333,24.880433333,46.1607,45.8209,108.3768,167.333833333,190.327233333
2023-07-15,83.061166667,144.863233333,71.5471,126.921366667,96.833733333,147.517833333,164.960133333,131.9149,84.506533333,34.0742,34.857866667,107.255833333,29.313533333,21.862766667,8.676766667,8.261866667,14.766366667,29.651366667,62.3885,48.8732,102.4601,72.0369,50.4554,11.259766667
2023-07-14,196.2474,140.1933,197.952333333,103.164733333,52.692633333,64.916633333,115.221466667,27.071833333,10.8299,21.8088,78.058166667,124.274266667,93.948033333,69.683033333,108.254933333,95.966366667,94.796466667,59.9714,43.558766667,30.4497,29.205933333,29.466766667,28.934833333,35.301133333
2023-07-13,36.840033333,47.730766667,34.696766667,37.6347,59.572,109.658966667,108.3744,52.763,47.281433333,76.050533333,53.0369,6.343133333,1.643333333,1.285033333,10.081233333,28.0601,96.6014,177.625333333,121.7795,53.984066667,150.136466667,121.578066667,72.5849,79.787433333
2023-07-12,185.694466667,107.236833333,72.7604,136.621133333,193.639733333,197.586433333,258.367866667,264.747066667,224.692533333,205.9341,145.474,64.699166667,30.052633333,13.150466667,0.3395,1.628766667,6.244066667,8.897933333,68.331433333,107.888233333,73.3259,58.548666667,66.458866667,13.680166667
2023-07-11,94.0859,95.577466667,150.045566667,24.634666667,4.224033333,13.861866667,6.799766667,26.9869,8.340733333,43.805333333,99.9554,154.296,164.255366667,90.676233333,58.6939,134.3526,101.386633333,105.924966667,94.9784,131.391833333,212.3525,212.6359,234.5826,223.137966667
2023-07-10,39.735433333,52.8937,40.566666667,43.549566667,14.7729,7.716,35.587166667,12.391966667,19.4039,21.153733333,42.424133333,20.9842,23.0191,59.4399,68.734333333,97.147433333,35.721466667,34.784233333,79.145366667,74.302133333,114.308966667,26.845666667,15.3342,7.129033333
2023-07-09,76.356966667,183.874333333,246.833166667,150.494566667,86.7653,83.5483,34.678166667,27.230066667,17.575,12.287733333,16.192366667,9.1644,5.931466667,21.3369,28.8922,21.967666667,7.829766667,4.8703,8.916833333,17.378,25.725933333,23.705266667,39.814266667,18.67
2023-07-08,114.333866667,42.864233333,26.613166667,82.731066667,152.675466667,77.818033333,56.051333333,41.166533333,39.9521,23.599866667,17.909933333,15.519333333,66.306466667,75.800966667,91.162,71.137633333,86.347466667,90.302733333,88.422733333,52.2259,68.7617,125.422133333,57.225066667,75.880166667
2023-07-07,224.173366667,124.4304,204.811033333,152.8776,116.7835,76.069633333,108.799233333,100.2535,129.951466667,159.090433333,175.8575,188.148833333,234.808233333,214.711666667,256.984133333,258.165166667,235.1396,250.205866667,131.712766667,57.776533333,32.652233333,45.795133333,53.0176,167.539533333
2023-07-06,174.704333333,239.4514,214.238366667,121.2089,265.384566667,237.306,213.732266667,130.3496,48.715466667,38.116833333,83.904733333,77.986233333,88.450333333,80.667733333,64.2385,68.425233333,85.935733333,108.712366667,110.2397,136.932433333,135.751333333,112.610866667,179.360166667,222.818833333
2023-07-05,202.4095,162.750233333,174.7304,178.1272,176.491066667,94.408833333,42.349733333,33.883966667,100.289933333,77.937833333,40.110233333,32.771133333,29.769666667,32.5323,28.181633333,51.9366,69.008233333,102.9156,164.5595,123.417566667,98.546533333,224.433666667,204.015266667,170.672633333
2023-07-04,18.3147,50.2158,79.8892,109.315633333,85.136266667,55.851766667,29.817866667,24.271333333,11.650466667,19.0935,36.6653,32.383666667,23.136866667,24.685633333,23.692333333,20.503633333,36.983066667,34.383466667,38.079733333,45.056933333,61.471533333,115.059333333,127.6309,154.908233333
2023-07-03,161.045433333,108.558666667,15.4918,98.739066667,92.330766667,4.052766667,0.06113333333,1.891233333,1.439333333,17.349533333,19.001566667,23.757466667,29.0269,43.568766667,0.7526,14.9073,18.976433333,17.470466667,16.1554,42.078766667,36.6087,21.259666667,21.024933333,12.195466667
2023-07-02,74.8018,87.3999,67.139266667,71.6193,46.036166667,29.060066667,66.270933333,44.6564,12.3889,1.920133333,0.9727666667,4.124233333,7.601333333,11.535566667,17.7038,31.6714,30.8094,41.788466667,50.113,229.795633333,252.3235,36.089166667,8.191,49.112666667
2023-07-01,59.894966667,258.9921,238.801366667,64.5555,21.2801,17.6941,43.095266667,2.111766667,1.352066667,1.6174,0,0.08926666667,6.451333333,0.6547,0.2653,1.4638,10.109,2.532233333,30.0263,75.8362,40.177233333,30.231333333,31.008366667,45.661333333
2023-06-30,152.8187,132.366866667,193.741133333,198.915333333,179.420233333,106.436466667,54.8556,35.4666,58.107866667,57.0399,31.801533333,18.0673,22.906666667,12.616233333,79.405866667,98.729633333,99.113266667,64.9409,8.8729,17.1857,2.5269,16.909366667,57.4246,40.837566667
2023-06-29,184.552333333,215.536366667,228.828766667,208.932366667,147.1547,165.029,136.2403,66.4178,140.387633333,125.5926,155.498466667,179.334466667,181.937366667,170.3956,187.418266667,191.449166667,183.745233333,215.381933333,200.3679,121.324533333,178.422833333,163.775033333,146.917533333,164.342
2023-06-28,146.912966667,64.285533333,261.529766667,260.477033333,265.3264,263.6337,177.661066667,106.266966667,126.754966667,230.680033333,248.233466667,242.039533333,251.1004,228.178433333,194.216933333,210.949,201.488566667,252.7449,220.600833333,161.796,189.2949,215.325966667,170.041133333,212.741166667
2023-06-27,150.285433333,164.250833333,190.5232,92.9497,98.5485,81.517266667,172.806933333,217.0049,202.025533333,102.926533333,87.961033333,101.125766667,114.1419,71.859233333,210.4031,251.4494,256.089466667,254.900833333,252.1156,217.3478,126.0897,131.826566667,147.7588,137.871133333
2023-06-26,32.237166667,40.9012,38.695,64.9359,48.4994,71.488,98.429266667,68.140266667,66.4901,12.011066667,10.071766667,18.779266667,40.204,34.9534,50.560533333,56.326766667,59.583266667,68.105333333,107.0535,129.6391,201.6607,164.9935,164.787233333,122.175866667
2023-06-25,59.234233333,19.834033333,12.366033333,39.1239,83.2662,97.8813,151.3483,178.609633333,204.422933333,237.184333333,226.111933333,192.0596,177.5253,133.741733333,98.348366667,60.1146,43.706166667,30.322766667,25.622033333,47.860533333,82.1018,66.385366667,82.3733,101.595333333
2023-06-24,150.123566667,109.637266667,176.106666667,263.695966667,264.835133333,264.8822,264.965033333,249.598766667,262.238533333,258.005366667,185.135266667,80.411533333,89.818233333,67.426933333,62.6223,74.567633333,42.038333333,21.571266667,30.56,85.603033333,177.2554,188.361566667,154.8745,101.9565
2023-06-23,74.838566667,170.980666667,43.629666667,69.039533333,251.317666667,256.3211,224.9097,69.6238,16.1318,19.411766667,60.9828,36.752333333,87.928933333,160.2095,208.643033333,253.7659,260.422166667,250.283633333,265.494833333,250.3576,73.573933333,198.420033333,264.5595,247.8499
2023-06-22,59.2925,38.6768,18.5892,34.198266667,52.496133333,48.753866667,61.308133333,93.352966667,61.1966,30.805466667,25.862033333,6.072566667,7.296966667,6.153866667,2.877966667,20.5592,118.489266667,195.149666667,205.632533333,178.847966667,195.7691,78.8537,23.987766667,47.879033333
2023-06-21,155.528833333,132.834833333,63.429066667,42.5632,62.789166667,34.529466667,31.855133333,20.4297,22.948833333,39.4564,6.1634,5.791633333,14.100033333,14.6,25.1361,82.253166667,185.3463,261.8003,233.998366667,142.4972,117.5082,103.2565,78.877066667,83.918533333
2023-06-20,37.011733333,11.491966667,0.4366666667,0,6.8928,35.7691,138.324766667,114.255833333,50.064466667,33.993033333,49.344166667,60.444633333,48.9863,56.8652,33.570933333,52.496633333,46.461933333,33.640266667,11.9867,9.6656,30.7706,8.213333333,42.139333333,98.179066667
2023-06-19,259.7654,210.7869,176.189266667,109.2192,161.052866667,172.126866667,100.3398,44.365566667,20.1926,2.4329,9.342,3.805733333,10.1278,68.926666667,174.547866667,227.435366667,133.668233333,59.946666667,3.296666667,0,0,0,49.121133333,68.861533333
2023-06-18,186.5722,51.643833333,5.2351,20.535366667,51.709266667,72.910733333,62.9927,61.9796,79.354333333,26.1172,8.293966667,0.095,1.0201,13.3188,19.133833333,12.230933333,28.2239,34.396733333,84.667733333,178.0452,244.813933333,260.654466667,261.486666667,256.554366667
2023-06-17,27.302633333,59.859733333,149.934633333,164.803166667,79.0798,69.491733333,69.3155,43.766,109.922,93.985066667,81.097833333,51.346333333,37.061,40.436733333,46.496066667,51.8058,157.4977,171.658,189.2572,43.025433333,23.261833333,241.346033333,224.5746,171.4487
2023-06-16,107.259966667,121.060333333,92.2816,225.785,165.738533333,227.325433333,170.776566667,212.020633333,81.750333333,42.943533333,32.0981,7.3747,6.331,8.612433333,11.7776,7.957533333,12.236433333,17.361966667,34.149466667,139.570366667,130.818166667,157.901233333,204.388266667,195.739866667
2023-06-15,175.411633333,177.260066667,113.660666667,213.729533333,211.4075,183.993133333,180.240533333,154.575033333,95.304866667,53.340866667,26.619266667,16.4859,46.8586,52.3773,55.3558,236.083133333,262.222033333,260.303933333,224.648433333,212.0678,177.902766667,144.212533333,59.9946,38.999066667
2023-06-14,18.758466667,14.137566667,2.9914,35.3614,83.007733333,61.081966667,18.264866667,19.067333333,10.997233333,21.3369,8.882366667,6.755933333,2.9284,2.642766667,9.911033333,2.9577,5.8475,5.9747,1.2254,4.001466667,31.795933333,126.253,202.9965,228.524933333
2023-06-13,35.667733333,39.6306,59.031266667,65.449333333,42.0297,22.774366667,13.7293,14.936833333,3.459133333,15.3313,5.636666667,0.116,0.9318666667,1.977166667,2.995333333,15.574133333,13.2536,30.378433333,33.551833333,131.607433333,176.3066,144.060033333,80.452933333,23.9321
2023-06-12,141.2467,158.8548,193.0112,102.0691,102.0628,240.115433333,225.944866667,192.7163,130.315833333,47.418933333,126.540833333,94.123133333,93.023733333,39.2206,56.0507,58.696766667,102.2869,102.052566667,116.602966667,130.332733333,58.3666,65.352366667,78.983033333,65.005166667
2023-06-11,92.5383,64.5531,132.908333333,94.4687,189.125,164.6881,88.1437,85.389933333,99.5048,92.571866667,76.197833333,10.044533333,11.061866667,15.793533333,91.295366667,75.7943,88.3908,89.046266667,138.4836,235.596233333,155.071466667,169.746633333,166.2857,118.469966667
2023-06-10,17.936133333,21.3207,15.491666667,72.703366667,76.560566667,27.6637,84.1908,16.603633333,9.4561,6.017466667,0.3275,0,0,0,0,0,0.1684,0,0,0.232,4.931066667,25.321333333,29.6053,78.979333333
2023-06-09,27.580333333,23.671333333,33.214566667,53.518366667,22.8545,6.335,0.2653,0,0,0,1.877433333,5.636933333,17.024433333,31.383266667,37.956866667,50.6801,152.378,165.843066667,129.130233333,110.495633333,91.918366667,74.820566667,69.566966667,51.404866667
2023-06-08,155.634533333,49.368433333,16.691333333,98.109133333,55.1095,40.893733333,36.2789,43.622566667,23.165933333,40.138866667,48.7172,20.863266667,25.027066667,7.048266667,14.251433333,8.7132,5.445433333,4.939766667,0.1831333333,2.2539,4.7662,12.775233333,23.408766667,27.839233333
2023-06-07,128.990633333,67.354833333,28.001533333,11.224333333,94.6382,195.7222,103.543266667,43.714033333,6.511033333,0,2.471366667,0.3902666667,0,2.878633333,9.0379,49.8649,68.514133333,82.5825,71.0614,73.215966667,113.0379,155.8317,153.477,134.4575
2023-06-06,15.542433333,17.4527,21.795,19.1124,22.237633333,14.2802,25.9948,0.877,0,0.08926666667,2.299566667,1.228633333,0.2927,8.320533333,10.237933333,12.2838,4.515566667,1.223833333,6.8209,30.947666667,86.9299,133.2428,156.789266667,169.89
2023-06-05,1.9622,7.6149,26.971033333,36.677266667,54.161833333,52.342666667,35.107133333,5.3367,0,6.204133333,11.312866667,4.531,6.765266667,4.977566667,16.4726,0.1131666667,0.1131666667,0,91.9525,0.8744,8.628033333,21.372566667,59.794666667,21.1169
2023-06-04,104.1658,37.3752,59.1161,87.4662,93.397733333,116.647,66.5797,20.737966667,8.4178,7.6562,9.041066667,26.6344,53.664966667,1.2652,87.0017,111.237933333,28.0598,19.261666667,10.3723,12.384,12.9421,18.706233333,27.7145,11.297866667
2023-06-03,79.6687,139.852266667,33.635366667,1.738333333,0,0.2653,1.273233333,1.7482,0,0,0,12.161266667,15.013666667,12.4139,8.967533333,24.041933333,14.749033333,16.0674,46.287266667,126.474533333,102.2757,41.518,47.0298,88.7389
2023-06-02,174.665766667,154.6362,181.3375,146.8536,73.628366667,66.021366667,18.955766667,8.4349,11.7124,15.510033333,16.6113,33.3882,22.825966667,18.4445,182.803633333,262.735966667,242.557666667,20.546633333,38.8032,91.941866667,48.9679,94.3766,62.881766667,53.5899
2023-06-01,87.663633333,86.790933333,231.361833333,203.8853,125.266166667,99.7158,121.7358,58.543933333,36.1014,22.576333333,113.0631,219.237633333,183.214966667,165.944266667,181.097833333,166.154,91.634366667,189.759433333,163.964333333,120.683766667,143.000066667,148.6034,175.173166667,154.1689
