DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-07-31,25.22,22.93,19.86,18.91,19.05,19.62,19.81,19.27,19,21.99,28.18,44.67,50.34,83.16,161.46,273.43,600.81,426.4,293.82,1018.02,492.92,66.33,37.02,29.24
2023-07-30,23.62,19.73,18.9,18.04,17.83,17.26,15.6,15.16,15,16.48,21.3,27.52,30.46,46.72,57.44,86.54,144.99,131.48,151.24,303.46,190.84,54.38,39.43,30.73
2023-07-29,21.59,20.53,19.27,18.51,17.87,17.92,17.86,17.17,17.25,17.75,23.35,30.61,36.38,47.47,58.89,86.26,109.87,99.67,98.3,165.35,117.36,42.48,33.53,27.06
2023-07-28,25.08,23.11,20.87,19.83,19.3,19.71,19.5,18.96,18.83,18.97,24,28.29,35.13,50.04,60.86,71.88,92.34,71.9,75.6,132.81,98.73,41.55,31.2,26.11
2023-07-27,28.03,25.94,24.06,21.85,20.92,21.95,21.71,20.55,20.85,19.52,24.69,29.58,33.68,47.73,53.9,72.51,76.12,63.93,69.07,108.66,93.68,43.64,33.15,29.31
2023-07-26,24.01,21.73,19.32,18.88,18.75,19.88,19.67,18.38,17.22,16.27,20.13,26.18,29.34,41.06,43.23,61.55,66.45,65.71,78.46,103.53,80.22,39.29,34.45,28.82
2023-07-25,22.56,20.02,17.95,16.85,17.06,18.55,18.26,17.45,14.65,13.54,15.72,23.11,24.45,27.37,35.47,48.28,48.14,38.59,48.06,84.18,70.83,34.41,30.29,23.98
2023-07-24,20.93,19.4,19.25,18.53,18.77,19.47,18.62,17.76,17.47,18.52,22.42,28.6,31.89,53.96,77.18,149.35,149.76,145.96,119.36,159.51,82.69,36.56,30.75,23.89
2023-07-23,26.4,24.65,22.52,21.12,20.49,20.57,20.01,19.16,18.23,19.98,25.76,29.98,32.96,52.71,75.36,150.3,231.35,220.46,223.03,306.89,164.61,44.26,30.2,25.78
2023-07-22,24,22.98,21.51,21.28,20.15,20.39,19.53,18.83,18.34,19.89,24.98,29.35,32.85,46.93,68.07,127.6,155.29,151.89,154.71,232.49,153.96,45.35,32.79,27.54
2023-07-21,21.93,19.72,18.29,17.62,17.61,18.49,18.76,19.3,19.29,21.03,26.96,32.27,46.51,93.8,175.01,292,311.19,237.62,176.7,220.69,115.12,43.16,30.54,26.16
2023-07-20,22.18,19.79,18.32,17.66,18.47,20.61,22.88,22.75,21.14,22.17,26.15,32.31,51.97,71.38,126.03,244.89,321.75,307.96,299.1,486.58,295.23,65.1,31.84,27.05
2023-07-19,19.5,19.29,17.33,15.43,16.03,17.07,15.6,14.72,7.1,2.82,5,10.58,18.23,23.98,35.4,48.91,57.21,54.14,66.28,117.54,86.06,34.03,28.7,24.65
2023-07-18,23.22,20.18,18.72,15.58,14.72,15.65,14.64,13.99,7.63,2.74,3.17,5.52,9.78,14.55,26.73,35.45,47.57,45.27,66.52,122.23,97.17,39.02,28.94,25.07
2023-07-17,20.27,18.74,18.75,17.66,17.55,18.13,17.66,17.24,17.05,15.95,20.15,25.45,27.83,59.7,149.54,239.43,321.75,249.25,205.87,336.59,198.32,43.72,27.65,21.83
2023-07-16,25.32,24.55,22.16,21.05,20.17,19.85,19.54,19.25,18.64,19.94,23.38,26.38,27.18,30.15,34.21,75.23,107.58,129.54,150.54,226.27,192.93,55.42,29.12,23.38
2023-07-15,24.6,24.23,22.02,20.32,19.95,19.84,19.84,19.67,20.82,20.01,26.27,33.5,36.19,75.2,131.55,239.83,342.89,308.9,289.48,323.68,195.02,72.54,38.49,32.5
2023-07-14,26.85,24.8,22.38,20.29,19.6,20.18,17.84,17.89,17.2,17.12,19.43,25.13,30.92,60.88,103.98,149.89,166.07,132.3,125.16,187.53,108.03,48.68,33.44,28.82
